task_name,index,prompt,answer,attribute
ko_quiz_7,0,"""그루잠 "" ""노루잠 "" ""꾸벅잠 "" 중 깨었다가 다시 든 잠을(를) 뜻하는 우리말은?",그루잠 ,
ko_quiz_7,1,"""나비물 "" ""살그물 "" ""깃그물 "" 중 옆으로 쫙 퍼지게 끼얹는 물을(를) 뜻하는 우리말은?",나비물 ,
ko_quiz_7,2,"""두루딱딱이 "" ""두루두루 "" ""두루광이 "" 중 여러모로 알맞은 모양을(를) 뜻하는 우리말은?",두루딱딱이 ,
ko_quiz_7,3,"""마음을 놓지 못하고 조바심하며 자는 잠 "" ""비좁은 방에서 여럿이 모로 끼어 자는 잠 "" ""자야 할 시간이 아닌 때에 몰래 자는 잠 "" 중 '사로잠'의 뜻으로 알맞은 것은?",마음을 놓지 못하고 조바심하며 자는 잠 ,
ko_quiz_7,4,"""어린 꽃봉오리가 꽃을 피우기 위해 망울이 생기다 "" ""열매가 매우 실속 있고 다부지다 "" ""알맹이 속이 부실하고 변변치 아니하다 "" 중 '벙글다'의 뜻으로 알맞은 것은?",어린 꽃봉오리가 꽃을 피우기 위해 망울이 생기다 ,
ko_quiz_7,5,'든벌'의 뜻으로 알맞은 것은?,집 안에서만 입는 옷이나 신는 신발,
ko_quiz_7,6,'가탈지다'의 뜻으로 알맞은 것은?,복잡하고 까다로운 조건이 생기다,
ko_quiz_7,7,"""꾸미 "" ""돝고기 "" ""맷고기 "" 중 국이나 찌개에 넣는 고기붙이을(를) 뜻하는 우리말은?",꾸미 ,
ko_quiz_7,8,우연하게 듣게 된 겨를을(를) 뜻하는 우리말은?,귓결,
ko_quiz_7,9,"""가는 곳마다 빼지 않고 모두 "" ""고르지 않게 가무스름하다 "" ""여러 가닥으로 찢어진 모양 "" 중 '간데족족'의 뜻으로 알맞은 것은?",가는 곳마다 빼지 않고 모두 ,
ko_quiz_7,10,뺨에 보조개가 생기다을(를) 뜻하는 우리말은?,우물지다,
ko_quiz_7,11,넉넉하게 제대로 먹지 못하다을(를) 뜻하는 우리말은?,설먹다,
ko_quiz_7,12,'글구멍'의 뜻으로 알맞은 것은?,글을 잘 이해하는 지혜를 이르는 말,
ko_quiz_7,13,"""맨 처음으로 물건을 파는 일 "" ""운동 경기에서, 먼저 수비하는 일 "" ""윗사람의 잘못을 간하는 일 "" 중 '마수걸이'의 뜻으로 알맞은 것은?",맨 처음으로 물건을 파는 일 ,
ko_quiz_7,14,"""남모르게 틈틈이 "" ""여러 몫으로 나눈 모개마다 "" ""매우 천천히 걸어서 "" 중 '구메구메'의 뜻으로 알맞은 것은?",남모르게 틈틈이 ,
ko_quiz_7,15,"""아주 깊이 든 잠 "" ""짧은 시간안에 드는 잠 "" ""근심 없이 편하게 자는 잠 "" 중 '귀잠'의 뜻으로 알맞은 것은?",아주 깊이 든 잠 ,
ko_quiz_7,16,"""가끔가끔 틈을 타서 살그머니 "" ""겨를이 있을 때마다 "" ""시간적인 사이를 두고서 가끔씩 "" 중 '꾀꾀로'의 뜻으로 알맞은 것은?",가끔가끔 틈을 타서 살그머니 ,
ko_quiz_7,17,"""하늬바람 "" ""샛바람 "" ""마파람 "" 중 서쪽에서 부는 바람을(를) 뜻하는 우리말은?",하늬바람 ,
ko_quiz_7,18,"""여럿이 모두 있는 대로 "" ""일을 대강대강 하는 모양 "" ""살갗에 닿아 자꾸 걸리는 모양 "" 중 '갖추갖추'의 뜻으로 알맞은 것은?",여럿이 모두 있는 대로 ,
ko_quiz_7,19,"""똘기 "" ""날내 "" ""맏물 "" 중 채 익지 않은 과일을(를) 뜻하는 우리말은?",똘기 ,
ko_quiz_7,20,"""지스러기 "" ""꿈지러기 "" ""끄트러기 "" 중 골라내거나 잘라 내고 남은 나머지을(를) 뜻하는 우리말은?",지스러기 ,
ko_quiz_7,21,"""푹 익어서 무른 모양 "" ""살이 꽤 부은 듯한 모양 "" ""군데군데 하얀 모양 "" 중 '하물하물'의 뜻으로 알맞은 것은?",푹 익어서 무른 모양 ,
ko_quiz_7,22,"""여럿이 다 매우 가깝게 붙어 있는 모양 "" ""외따로 떨어져 여기저기 모여 있는 모양 "" ""여럿이 정답게 이야기 하는 모양 "" 중 '다붓다붓'의 뜻으로 알맞은 것은?",여럿이 다 매우 가깝게 붙어 있는 모양 ,
ko_quiz_7,23,"""음식물에서 생긴 구더기 "" ""잘라 내고 남은 나머지 "" ""잘게 부스러진 물건 "" 중 '꿈지러기'의 뜻으로 알맞은 것은?",음식물에서 생긴 구더기 ,
ko_quiz_7,24,"""일을 다잡아 해내는 솜씨 "" ""어떤 방면에서 썩 훌륭한 솜씨 "" ""무리하게 억지로 해내는 솜씨 "" 중 '잡을손'의 뜻으로 알맞은 것은?",일을 다잡아 해내는 솜씨 ,
ko_quiz_7,25,'구순하다'의 뜻으로 알맞은 것은?,사이가 좋아 화목하다,
ko_quiz_7,26,"""몽글다 "" ""옹글다 "" ""궁글다 "" 중 가루 따위가 미세하고 곱다을(를) 뜻하는 우리말은?",몽글다 ,
ko_quiz_7,27,"""억실억실 "" ""이리이리 "" ""늠씰늠씰 "" 중 생김새가 선이 굵고 시원시원한 모양을(를) 뜻하는 우리말은?",억실억실 ,
ko_quiz_7,28,"""한쪽으로 틀다 "" ""바싹 꼬면서 틀다 "" ""값의 한도 안에 들다 "" 중 '외틀다'의 뜻으로 알맞은 것은?",한쪽으로 틀다 ,
ko_quiz_7,29,"""사로잠 "" ""갈치잠 "" ""도둑잠 "" 중 마음을 놓지 못하고 조바심하며 자는 잠을(를) 뜻하는 우리말은?",사로잠 ,
ko_quiz_7,30,"""웅숭깊다 "" ""깊디깊다 "" ""호박하다 "" 중 생각이나 뜻이 크고 넓다을(를) 뜻하는 우리말은?",웅숭깊다 ,
ko_quiz_7,31,"""드물고 성긴 모양 "" ""휘휘 자꾸 젓는 모양 "" ""이리저리 헤어지는 모양 "" 중 '담상담상'의 뜻으로 알맞은 것은?",드물고 성긴 모양 ,
ko_quiz_7,32,"""일을 해내는 솜씨나 능력 "" ""사람을 서로 바꾸어 일함 "" ""무리하게 억지로 해내는 솜씨 "" 중 '제낄손'의 뜻으로 알맞은 것은?",일을 해내는 솜씨나 능력 ,
ko_quiz_7,33,"""옷을 입고 매만진 맵시 "" ""겉으로 드러나는 자태나 맵시 "" ""꾸미지 않고 나타나는 자연스러운 맵시 "" 중 '맨드리'의 뜻으로 알맞은 것은?",옷을 입고 매만진 맵시 ,
ko_quiz_7,34,"""갈치잠 "" ""귀잠 "" ""그루잠 "" 중 비좁은 방에서 여럿이 모로 끼어 자는 잠을(를) 뜻하는 우리말은?",갈치잠 ,
ko_quiz_7,35,빈틈없이 아주 여무진 사람을(를) 뜻하는 우리말은?,모도리,
ko_quiz_7,36,"""미처 다 타지 않고 남아 있는 장작개비 "" ""쓰고 남은 자질구레한 조각 "" ""골라내거나 잘라 내고 남은 나머지 "" 중 '무드러기'의 뜻으로 알맞은 것은?",미처 다 타지 않고 남아 있는 장작개비 ,
ko_quiz_7,37,"""음흉하고 심술궂게 욕심을 부리는 짓 "" ""겉보기와 달리 속으로는 엉큼한 데가 있는 것 "" ""말이나 행동이 철저하거나 분명하지 않은 것 "" 중 '몽짜'의 뜻으로 알맞은 것은?",음흉하고 심술궂게 욕심을 부리는 짓 ,
ko_quiz_7,38,"""덤터기 "" ""끌터기 "" ""마루터기 "" 중 억울한 누명이나 오명을(를) 뜻하는 우리말은?",덤터기 ,
ko_quiz_7,39,"""마중물 "" ""붉덩물 "" ""우물물 "" 중 물을 끌어 올리기 위하여 위에서 붓는 물을(를) 뜻하는 우리말은?",마중물 ,
ko_quiz_7,40,"""매나니 "" ""맨이름 "" ""껑터리 "" 중 아무 도구도 가지지 아니하고 맨손뿐인 것을(를) 뜻하는 우리말은?",매나니 ,
ko_quiz_7,41,"""빼빼거리다 "" ""배쓱거리다 "" ""쨍끗거리다 "" 중 어린아이가 듣기 싫게 자꾸 울다을(를) 뜻하는 우리말은?",빼빼거리다 ,
ko_quiz_7,42,"""꾀꾀로 "" ""곳곳이 "" ""짬짬이 "" 중 가끔가끔 틈을 타서 살그머니을(를) 뜻하는 우리말은?",꾀꾀로 ,
ko_quiz_7,43,남다른 도움이나 사랑을 받다을(를) 뜻하는 우리말은?,두남받다,
ko_quiz_7,44,"""구순하다 "" ""광순하다 "" ""교순하다 "" 중 사이가 좋아 화목하다을(를) 뜻하는 우리말은?",구순하다 ,
ko_quiz_7,45,"""여러 겹으로 얼어붙은 얼음 "" ""유리창에 붙은 얼음 "" ""잘고 희게 부스러진 얼음 "" 중 '너테'의 뜻으로 알맞은 것은?",여러 겹으로 얼어붙은 얼음 ,
ko_quiz_7,46,"""새물 "" ""새간 "" ""새김 "" 중 새로 갓 나온 과일이나 생선을(를) 뜻하는 우리말은?",새물 ,
ko_quiz_7,47,'아람'의 뜻으로 알맞은 것은?,충분히 익어 저절로 떨어질 정도가 된 상태,
